Venue Name,Monday Open,Monday Close,Tuesday Open,Tuesday Close,Wednesday Open,Wednesday Close,Thursday Open,Thursday Close,Friday Open,Friday Close,Saturday Open,Saturday Close,Sunday Open,Sunday Close
Mila,18:00,23:30,18:00,23:30,18:00,23:30,18:00,23:30,17:30,23:30,17:30,23:30,11:30,23:30
Casa Neo,CLOSED,CLOSED,CLOSED,CLOSED,18:00,0:00,18:00,0:00,17:30,23:30,12:00,23:30,12:00,23:30
Macchialina,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Cecconis at Soho House,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00,7:00,23:00
Giselle,CLOSED,CLOSED,CLOSED,CLOSED,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30
LPM,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30,18:00,22:30
Mandolin,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30
Sexy Fish,12:00,23:30,12:00,23:30,12:00,23:30,12:00,23:30,12:00,23:30,12:00,23:30,12:00,23:30
Sereia,CLOSED,CLOSED,18:00,22:00,18:00,22:00,18:00,22:00,18:00,22:00,18:00,22:00,18:00,22:00
Prime 112,17:30,23:30,17:30,23:30,17:30,23:30,17:30,23:30,17:30,23:30,17:30,23:30,17:30,23:30
Prime Italian,17:00,23:30,17:00,23:30,17:00,23:30,17:00,23:30,17:00,23:30,17:00,23:30,17:00,23:30
Nobu,18:00,21:45,18:00,21:45,18:00,21:45,18:00,21:45,18:00,22:45,18:00,22:45,18:00,21:45
Milos,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00,11:30,23:00
KYU,17:00,22:00,17:00,22:00,17:00,22:00,17:00,23:00,17:00,23:00,17:00,23:00,17:00,22:00
Gekko,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:30,18:00,23:30,18:00,23:00
Komodo,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:00,18:00,23:30,18:00,0:00,18:00,23:00
Casadonna,18:00,22:00,18:00,22:00,18:00,22:00,18:00,23:30,18:00,23:00,18:00,23:30,18:00,22:00
Papi Steak,18:00,23:00,18:00,22:00,18:00,22:00,18:00,23:00,18:00,23:00,18:00,0:00,18:00,23:00
Shadow Wagyu,CLOSED,CLOSED,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,20:00,12:00,15:30
Call Me Gaby,12:00,23:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30,12:00,22:30
Niu Kitchen,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Serea,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Silverlake,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Margot Sobe,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
The Standard,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Tala @ 1 Hotel,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Catch,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Le Jardinier L'atelier,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Semilla,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Kyu,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Sparrow,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Mother Wolf,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Paya Ghee,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Kissaki,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
Erba,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30,17:00,22:30
